drug1.conc,drug2.conc,drug3.conc,drug4.conc,E
0.2236,0,0.05,0.05,0.9399
0.2236,0,0.05,0.2236,0.9284
0.2236,0,0.05,1,0.6166
0.2236,0,0.05,4.472,0.372
0.2236,0,0.05,20,0.2353
0.2236,0,0.2236,0,0.9512
0.2236,0,0.2236,0.05,0.9207
0.2236,0,0.2236,0.2236,0.8495
0.2236,0,0.2236,1,0.5794
0.2236,0,0.2236,4.472,0.327
0.2236,0,0.2236,20,0.2309
0.2236,0,1,0,0.7147
0.2236,0,1,0.05,0.6289
0.2236,0,1,0.2236,0.5321
0.2236,0,1,1,0.3753
0.2236,0,1,4.472,0.225
0.2236,0,1,20,0.1658
0.2236,0,4.472,0,0.3044
0.2236,0,4.472,0.05,0.2922
0.2236,0,4.472,0.2236,0.2581
0.2236,0,4.472,1,0.1777
0.2236,0,4.472,4.472,0.1063
0.2236,0,4.472,20,0.07744
0.2236,0,20,0,0.3085
0.2236,0,20,0.05,0.2879
0.2236,0,20,0.2236,0.2568
0.2236,0,20,1,0.1849
0.2236,0,20,4.472,0.1068
0.2236,0,20,20,0.06364
1,0,0,0,0.7017
1,0,0,0.05,0.6854
1,0,0,0.2236,0.6299
1,0,0,1,0.4408
1,0,0,4.472,0.2865
1,0,0,20,0.1725
1,0,0.05,0,0.6967
1,0,0.05,0.05,0.7717
1,0,0.05,0.2236,0.6084
1,0,0.05,1,0.4734
1,0,0.05,4.472,0.2396
1,0,0.05,20,0.1925
1,0,0.2236,0,0.7994
1,0,0.2236,0.05,0.6988
1,0,0.2236,0.2236,0.635
1,0,0.2236,1,0.4293
1,0,0.2236,4.472,0.2277
1,0,0.2236,20,0.1856
1,0,1,0,0.5048
1,0,1,0.05,0.4361
1,0,1,0.2236,0.3968
1,0,1,1,0.3059
1,0,1,4.472,0.1854
1,0,1,20,0.1233
1,0,4.472,0,0.2291
1,0,4.472,0.05,0.2258
1,0,4.472,0.2236,0.1928
1,0,4.472,1,0.1308
1,0,4.472,4.472,0.07031
1,0,4.472,20,0.05676
1,0,20,0,0.2382
1,0,20,0.05,0.1962
1,0,20,0.2236,0.2011
1,0,20,1,0.1371
1,0,20,4.472,0.07999
1,0,20,20,0.0489
4.472,0,0,0,0.5713
4.472,0,0,0.05,0.5227
4.472,0,0,0.2236,0.4647
4.472,0,0,1,0.3313
4.472,0,0,4.472,0.2088
4.472,0,0,20,0.1235
4.472,0,0.05,0,0.515
4.472,0,0.05,0.05,0.4881
4.472,0,0.05,0.2236,0.4711
4.472,0,0.05,1,0.2983
4.472,0,0.05,4.472,0.1732
4.472,0,0.05,20,0.1238
4.472,0,0.2236,0,0.4967
4.472,0,0.2236,0.05,0.4765
4.472,0,0.2236,0.2236,0.485
4.472,0,0.2236,1,0.3276
4.472,0,0.2236,4.472,0.1774
4.472,0,0.2236,20,0.1255
4.472,0,1,0,0.3449
4.472,0,1,0.05,0.3422
4.472,0,1,0.2236,0.3219
4.472,0,1,1,0.1948
4.472,0,1,4.472,0.1076
4.472,0,1,20,0.0825
4.472,0,4.472,0,0.1494
4.472,0,4.472,0.05,0.1482
4.472,0,4.472,0.2236,0.1307
4.472,0,4.472,1,0.09476
4.472,0,4.472,4.472,0.05234
4.472,0,4.472,20,0.03966
4.472,0,20,0,0.1643
4.472,0,20,0.05,0.1586
4.472,0,20,0.2236,0.1315
4.472,0,20,1,0.09655
4.472,0,20,4.472,0.05078
4.472,0,20,20,0.03949
20,0,0,0,0.4634
20,0,0,0.05,0.4651
20,0,0,0.2236,0.4073
20,0,0,1,0.2945
20,0,0,4.472,0.1759
20,0,0,20,0.133
20,0,0.05,0,0.5518
20,0,0.05,0.05,0.4309
20,0,0.05,0.2236,0.4689
20,0,0.05,1,0.3112
20,0,0.05,4.472,0.1675
20,0,0.05,20,0.1203
20,0,0.2236,0,0.4805
20,0,0.2236,0.05,0.5165
20,0,0.2236,0.2236,0.4051
20,0,0.2236,1,0.3206
20,0,0.2236,4.472,0.1794
20,0,0.2236,20,0.1223
20,0,1,0,0.3398
20,0,1,0.05,0.2751
20,0,1,0.2236,0.2774
20,0,1,1,0.181
20,0,1,4.472,0.12
20,0,1,20,0.08464
20,0,4.472,0,0.1459
20,0,4.472,0.05,0.146
20,0,4.472,0.2236,0.143
20,0,4.472,1,0.0913
20,0,4.472,4.472,0.05566
20,0,4.472,20,0.04048
20,0,20,0,0.1697
20,0,20,0.05,0.1495
20,0,20,0.2236,0.1326
20,0,20,1,0.08017
20,0,20,4.472,0.05764
20,0,20,20,0.04035
0,0.05,0,0,0.9477
0,0.05,0,0.05,0.7973
0,0.05,0,0.2236,0.7906
0,0.05,0,1,0.5856
0,0.05,0,4.472,0.329
0,0.05,0,20,0.1973
0,0.05,0.05,0,0.9741
0,0.05,0.05,0.05,0.914
0,0.05,0.05,0.2236,0.7431
0,0.05,0.05,1,0.5377
0,0.05,0.05,4.472,0.2873
0,0.05,0.05,20,0.2112
0,0.05,0.2236,0,0.8182
0,0.05,0.2236,0.05,0.9514
0,0.05,0.2236,0.2236,0.8127
0,0.05,0.2236,1,0.5621
0,0.05,0.2236,4.472,0.323
0,0.05,0.2236,20,0.2018
0,0.05,1,0,0.6263
0,0.05,1,0.05,0.5484
0,0.05,1,0.2236,0.4682
0,0.05,1,1,0.37
0,0.05,1,4.472,0.2078
0,0.05,1,20,0.1399
0,0.05,4.472,0,0.2586
0,0.05,4.472,0.05,0.269
0,0.05,4.472,0.2236,0.2406
0,0.05,4.472,1,0.1638
0,0.05,4.472,4.472,0.09715
0,0.05,4.472,20,0.06623
0,0.05,20,0,0.2831
0,0.05,20,0.05,0.2828
0,0.05,20,0.2236,0.2315
0,0.05,20,1,0.1516
0,0.05,20,4.472,0.09198
0,0.05,20,20,0.06873
0.05,0.05,0,0,0.8088
0.05,0.05,0,0.05,0.8338
0.05,0.05,0,0.2236,0.7155
0.05,0.05,0,1,0.5504
0.05,0.05,0,4.472,0.2857
0.05,0.05,0,20,0.2276
0.05,0.05,0.05,0,0.854
0.05,0.05,0.05,0.05,0.8553
0.05,0.05,0.05,0.2236,0.7999
0.05,0.05,0.05,1,0.5454
0.05,0.05,0.05,4.472,0.3234
0.05,0.05,0.05,20,0.2253
0.05,0.05,0.2236,0,0.8969
0.05,0.05,0.2236,0.05,0.8925
0.05,0.05,0.2236,0.2236,0.7799
0.05,0.05,0.2236,1,0.5419
0.05,0.05,0.2236,4.472,0.3146
0.05,0.05,0.2236,20,0.2272
0.05,0.05,1,0,0.5649
0.05,0.05,1,0.05,0.5991
0.05,0.05,1,0.2236,0.5525
0.05,0.05,1,1,0.3737
0.05,0.05,1,4.472,0.1951
0.05,0.05,1,20,0.1301
0.05,0.05,4.472,0,0.3047
0.05,0.05,4.472,0.05,0.2694
0.05,0.05,4.472,0.2236,0.2339
0.05,0.05,4.472,1,0.1575
0.05,0.05,4.472,4.472,0.0951
0.05,0.05,4.472,20,0.0721
0.05,0.05,20,0,0.2652
0.05,0.05,20,0.05,0.2348
0.05,0.05,20,0.2236,0.2147
0.05,0.05,20,1,0.1613
0.05,0.05,20,4.472,0.101
0.05,0.05,20,20,0.0652
0.2236,0.05,0,0,0.9034
0.2236,0.05,0,0.05,0.8216
0.2236,0.05,0,0.2236,0.7483
0.2236,0.05,0,1,0.5349
0.2236,0.05,0,4.472,0.2941
0.2236,0.05,0,20,0.2087
0.2236,0.05,0.05,0,0.8315
0.2236,0.05,0.05,0.05,0.8611
0.2236,0.05,0.05,0.2236,0.775
0.2236,0.05,0.05,1,0.5472
0.2236,0.05,0.05,4.472,0.2847
0.2236,0.05,0.05,20,0.1975
0.2236,0.05,0.2236,0,0.8617
0.2236,0.05,0.2236,0.05,0.8598
0.2236,0.05,0.2236,0.2236,0.7664
0.2236,0.05,0.2236,1,0.5129
0.2236,0.05,0.2236,4.472,0.2953
0.2236,0.05,0.2236,20,0.1948
0.2236,0.05,1,0,0.546
0.2236,0.05,1,0.05,0.5654
0.2236,0.05,1,0.2236,0.4963
0.2236,0.05,1,1,0.345
0.2236,0.05,1,4.472,0.2198
0.2236,0.05,1,20,0.1367
0.2236,0.05,4.472,0,0.2731
0.2236,0.05,4.472,0.05,0.2402
0.2236,0.05,4.472,0.2236,0.2237
0.2236,0.05,4.472,1,0.1633
0.2236,0.05,4.472,4.472,0.09144
0.2236,0.05,4.472,20,0.0713
0.2236,0.05,20,0,0.2798
0.2236,0.05,20,0.05,0.251
0.2236,0.05,20,0.2236,0.2151
0.2236,0.05,20,1,0.1575
0.2236,0.05,20,4.472,0.09295
0.2236,0.05,20,20,0.06444
1,0.05,0,0,0.6661
1,0.05,0,0.05,0.6738
1,0.05,0,0.2236,0.4774
1,0.05,0,1,0.4754
1,0.05,0,4.472,0.23
1,0.05,0,20,0.1497
1,0.05,0.05,0,0.6996
1,0.05,0.05,0.05,0.5926
1,0.05,0.05,0.2236,0.5565
1,0.05,0.05,1,0.3952
1,0.05,0.05,4.472,0.2542
1,0.05,0.05,20,0.1587
1,0.05,0.2236,0,0.651
1,0.05,0.2236,0.05,0.6577
1,0.05,0.2236,0.2236,0.5919
1,0.05,0.2236,1,0.3706
1,0.05,0.2236,4.472,0.2301
1,0.05,0.2236,20,0.1512
1,0.05,1,0,0.4581
1,0.05,1,0.05,0.4436
1,0.05,1,0.2236,0.3879
1,0.05,1,1,0.2482
1,0.05,1,4.472,0.1549
1,0.05,1,20,0.116
1,0.05,4.472,0,0.2243
1,0.05,4.472,0.05,0.1943
1,0.05,4.472,0.2236,0.1876
1,0.05,4.472,1,0.1196
1,0.05,4.472,4.472,0.07662
1,0.05,4.472,20,0.05675
1,0.05,20,0,0.1991
1,0.05,20,0.05,0.1942
1,0.05,20,0.2236,0.1678
1,0.05,20,1,0.1206
1,0.05,20,4.472,0.07416
1,0.05,20,20,0.04905
4.472,0.05,0,0,0.4882
4.472,0.05,0,0.05,0.4533
4.472,0.05,0,0.2236,0.4313
4.472,0.05,0,1,0.283
4.472,0.05,0,4.472,0.1737
4.472,0.05,0,20,0.1045
4.472,0.05,0.05,0,0.4847
4.472,0.05,0.05,0.05,0.4741
4.472,0.05,0.05,0.2236,0.4261
4.472,0.05,0.05,1,0.2905
4.472,0.05,0.05,4.472,0.1687
4.472,0.05,0.05,20,0.1074
4.472,0.05,0.2236,0,0.5098
4.472,0.05,0.2236,0.05,0.4219
4.472,0.05,0.2236,0.2236,0.431
4.472,0.05,0.2236,1,0.2536
4.472,0.05,0.2236,4.472,0.1646
4.472,0.05,0.2236,20,0.1117
4.472,0.05,1,0,0.3358
4.472,0.05,1,0.05,0.3084
4.472,0.05,1,0.2236,0.2594
4.472,0.05,1,1,0.172
4.472,0.05,1,4.472,0.1005
4.472,0.05,1,20,0.07107
4.472,0.05,4.472,0,0.1432
4.472,0.05,4.472,0.05,0.1368
4.472,0.05,4.472,0.2236,0.1227
4.472,0.05,4.472,1,0.09139
4.472,0.05,4.472,4.472,0.04972
4.472,0.05,4.472,20,0.02971
4.472,0.05,20,0,0.1379
4.472,0.05,20,0.05,0.1339
4.472,0.05,20,0.2236,0.1292
4.472,0.05,20,1,0.08741
4.472,0.05,20,4.472,0.04714
4.472,0.05,20,20,0.03379
20,0.05,0,0,0.4573
20,0.05,0,0.05,0.4245
20,0.05,0,0.2236,0.4244
20,0.05,0,1,0.2424
20,0.05,0,4.472,0.1508
20,0.05,0,20,0.1118
20,0.05,0.05,0,0.4344
20,0.05,0.05,0.05,0.4364
20,0.05,0.05,0.2236,0.3632
20,0.05,0.05,1,0.2777
20,0.05,0.05,4.472,0.1669
20,0.05,0.05,20,0.1119
20,0.05,0.2236,0,0.4608
20,0.05,0.2236,0.05,0.4101
20,0.05,0.2236,0.2236,0.383
20,0.05,0.2236,1,0.2839
20,0.05,0.2236,4.472,0.1503
20,0.05,0.2236,20,0.1075
20,0.05,1,0,0.3338
20,0.05,1,0.05,0.2634
20,0.05,1,0.2236,0.235
20,0.05,1,1,0.1657
20,0.05,1,4.472,0.1162
20,0.05,1,20,0.06887
20,0.05,4.472,0,0.1419
20,0.05,4.472,0.05,0.1449
20,0.05,4.472,0.2236,0.1169
20,0.05,4.472,1,0.0837
20,0.05,4.472,4.472,0.04562
20,0.05,4.472,20,0.03387
20,0.05,20,0,0.1301
20,0.05,20,0.05,0.1323
20,0.05,20,0.2236,0.1146
20,0.05,20,1,0.08474
20,0.05,20,4.472,0.0479
20,0.05,20,20,0.03184
0,0.2236,0,0,0.8556
0,0.2236,0,0.05,0.8058
0,0.2236,0,0.2236,0.7456
0,0.2236,0,1,0.5215
0,0.2236,0,4.472,0.3135
0,0.2236,0,20,0.2078
0,0.2236,0.05,0,0.9181
0,0.2236,0.05,0.05,0.7766
0,0.2236,0.05,0.2236,0.7398
0,0.2236,0.05,1,0.4979
0,0.2236,0.05,4.472,0.2964
0,0.2236,0.05,20,0.1963
0,0.2236,0.2236,0,0.7895
0,0.2236,0.2236,0.05,0.843
0,0.2236,0.2236,0.2236,0.7431
0,0.2236,0.2236,1,0.5059
0,0.2236,0.2236,4.472,0.2773
0,0.2236,0.2236,20,0.1861
0,0.2236,1,0,0.5207
0,0.2236,1,0.05,0.5672
0,0.2236,1,0.2236,0.4931
0,0.2236,1,1,0.3544
0,0.2236,1,4.472,0.1545
0,0.2236,1,20,0.1261
0,0.2236,4.472,0,0.2673
0,0.2236,4.472,0.05,0.2639
0,0.2236,4.472,0.2236,0.2104
0,0.2236,4.472,1,0.1463
0,0.2236,4.472,4.472,0.07728
0,0.2236,4.472,20,0.05982
0,0.2236,20,0,0.2546
0,0.2236,20,0.05,0.2375
0,0.2236,20,0.2236,0.223
0,0.2236,20,1,0.1438
0,0.2236,20,4.472,0.09408
0,0.2236,20,20,0.06032
0.05,0.2236,0,0,0.7875
0.05,0.2236,0,0.05,0.8411
0.05,0.2236,0,0.2236,0.7167
0.05,0.2236,0,1,0.5114
0.05,0.2236,0,4.472,0.2823
0.05,0.2236,0,20,0.1865
0.05,0.2236,0.05,0,0.8628
0.05,0.2236,0.05,0.05,0.8322
0.05,0.2236,0.05,0.2236,0.7198
0.05,0.2236,0.05,1,0.5027
0.05,0.2236,0.05,4.472,0.3097
0.05,0.2236,0.05,20,0.1911
0.05,0.2236,0.2236,0,0.8836
0.05,0.2236,0.2236,0.05,0.7853
0.05,0.2236,0.2236,0.2236,0.6883
0.05,0.2236,0.2236,1,0.4945
0.05,0.2236,0.2236,4.472,0.2987
0.05,0.2236,0.2236,20,0.2036
0.05,0.2236,1,0,0.5496
0.05,0.2236,1,0.05,0.6181
0.05,0.2236,1,0.2236,0.4208
0.05,0.2236,1,1,0.3426
0.05,0.2236,1,4.472,0.189
0.05,0.2236,1,20,0.1299
0.05,0.2236,4.472,0,0.258
0.05,0.2236,4.472,0.05,0.2571
0.05,0.2236,4.472,0.2236,0.2227
0.05,0.2236,4.472,1,0.1478
0.05,0.2236,4.472,4.472,0.09403
0.05,0.2236,4.472,20,0.05606
0.05,0.2236,20,0,0.2512
0.05,0.2236,20,0.05,0.2454
0.05,0.2236,20,0.2236,0.2345
0.05,0.2236,20,1,0.1632
0.05,0.2236,20,4.472,0.08634
0.05,0.2236,20,20,0.05831
0.2236,0.2236,0,0,0.8017
0.2236,0.2236,0,0.05,0.7682
0.2236,0.2236,0,0.2236,0.6764
0.2236,0.2236,0,1,0.4955
0.2236,0.2236,0,4.472,0.2845
0.2236,0.2236,0,20,0.1906
0.2236,0.2236,0.05,0,0.8709
0.2236,0.2236,0.05,0.05,0.7362
0.2236,0.2236,0.05,0.2236,0.7758
0.2236,0.2236,0.05,1,0.4894
0.2236,0.2236,0.05,4.472,0.3065
0.2236,0.2236,0.05,20,0.2034
0.2236,0.2236,0.2236,0,0.8283
0.2236,0.2236,0.2236,0.05,0.7995
0.2236,0.2236,0.2236,0.2236,0.6776
0.2236,0.2236,0.2236,1,0.403
0.2236,0.2236,0.2236,4.472,0.2883
0.2236,0.2236,0.2236,20,0.1952
0.2236,0.2236,1,0,0.5077
0.2236,0.2236,1,0.05,0.4794
0.2236,0.2236,1,0.2236,0.4595
0.2236,0.2236,1,1,0.3409
0.2236,0.2236,1,4.472,0.178
0.2236,0.2236,1,20,0.1329
0.2236,0.2236,4.472,0,0.2172
0.2236,0.2236,4.472,0.05,0.2345
0.2236,0.2236,4.472,0.2236,0.2054
0.2236,0.2236,4.472,1,0.1653
0.2236,0.2236,4.472,4.472,0.08553
0.2236,0.2236,4.472,20,0.05857
0.2236,0.2236,20,0,0.2411
0.2236,0.2236,20,0.05,0.2269
0.2236,0.2236,20,0.2236,0.2081
0.2236,0.2236,20,1,0.1463
0.2236,0.2236,20,4.472,0.08894
0.2236,0.2236,20,20,0.05089
1,0.2236,0,0,0.6377
1,0.2236,0,0.05,0.5869
1,0.2236,0,0.2236,0.5494
1,0.2236,0,1,0.3554
1,0.2236,0,4.472,0.2159
1,0.2236,0,20,0.1498
1,0.2236,0.05,0,0.6031
1,0.2236,0.05,0.05,0.5404
1,0.2236,0.05,0.2236,0.5726
1,0.2236,0.05,1,0.3711
1,0.2236,0.05,4.472,0.254
1,0.2236,0.05,20,0.1565
1,0.2236,0.2236,0,0.6763
1,0.2236,0.2236,0.05,0.5432
1,0.2236,0.2236,0.2236,0.5487
1,0.2236,0.2236,1,0.4014
1,0.2236,0.2236,4.472,0.2251
1,0.2236,0.2236,20,0.1517
1,0.2236,1,0,0.4204
1,0.2236,1,0.05,0.4148
1,0.2236,1,0.2236,0.3366
1,0.2236,1,1,0.2223
1,0.2236,1,4.472,0.1434
1,0.2236,1,20,0.1068
1,0.2236,4.472,0,0.1872
1,0.2236,4.472,0.05,0.1786
1,0.2236,4.472,0.2236,0.1577
1,0.2236,4.472,1,0.1101
1,0.2236,4.472,4.472,0.07045
1,0.2236,4.472,20,0.04352
1,0.2236,20,0,0.1918
1,0.2236,20,0.05,0.1822
1,0.2236,20,0.2236,0.1802
1,0.2236,20,1,0.1117
1,0.2236,20,4.472,0.06384
1,0.2236,20,20,0.04588
4.472,0.2236,0,0,0.4352
4.472,0.2236,0,0.05,0.4215
4.472,0.2236,0,0.2236,0.3936
4.472,0.2236,0,1,0.2745
4.472,0.2236,0,4.472,0.1543
4.472,0.2236,0,20,0.1089
4.472,0.2236,0.05,0,0.4529
4.472,0.2236,0.05,0.05,0.3811
4.472,0.2236,0.05,0.2236,0.3655
4.472,0.2236,0.05,1,0.2647
4.472,0.2236,0.05,4.472,0.1662
4.472,0.2236,0.05,20,0.1039
4.472,0.2236,0.2236,0,0.4586
4.472,0.2236,0.2236,0.05,0.4496
4.472,0.2236,0.2236,0.2236,0.3748
4.472,0.2236,0.2236,1,0.2821
4.472,0.2236,0.2236,4.472,0.15
4.472,0.2236,0.2236,20,0.1061
4.472,0.2236,1,0,0.2651
4.472,0.2236,1,0.05,0.2466
4.472,0.2236,1,0.2236,0.2314
4.472,0.2236,1,1,0.1713
4.472,0.2236,1,4.472,0.1054
4.472,0.2236,1,20,0.07161
4.472,0.2236,4.472,0,0.122
4.472,0.2236,4.472,0.05,0.1379
4.472,0.2236,4.472,0.2236,0.1154
4.472,0.2236,4.472,1,0.0828
4.472,0.2236,4.472,4.472,0.04574
4.472,0.2236,4.472,20,0.03081
4.472,0.2236,20,0,0.1336
4.472,0.2236,20,0.05,0.1216
4.472,0.2236,20,0.2236,0.1069
4.472,0.2236,20,1,0.07456
4.472,0.2236,20,4.472,0.04727
4.472,0.2236,20,20,0.03337
20,0.2236,0,0,0.3978
20,0.2236,0,0.05,0.3909
20,0.2236,0,0.2236,0.3754
20,0.2236,0,1,0.2613
20,0.2236,0,4.472,0.1413
20,0.2236,0,20,0.1025
20,0.2236,0.05,0,0.4495
20,0.2236,0.05,0.05,0.4256
20,0.2236,0.05,0.2236,0.3701
20,0.2236,0.05,1,0.2386
20,0.2236,0.05,4.472,0.1649
20,0.2236,0.05,20,0.1027
20,0.2236,0.2236,0,0.3628
20,0.2236,0.2236,0.05,0.4027
20,0.2236,0.2236,0.2236,0.3587
20,0.2236,0.2236,1,0.2504
20,0.2236,0.2236,4.472,0.141
20,0.2236,0.2236,20,0.09867
20,0.2236,1,0,0.2765
20,0.2236,1,0.05,0.2393
20,0.2236,1,0.2236,0.237
20,0.2236,1,1,0.1582
20,0.2236,1,4.472,0.09046
20,0.2236,1,20,0.06578
20,0.2236,4.472,0,0.1227
20,0.2236,4.472,0.05,0.1375
20,0.2236,4.472,0.2236,0.1065
20,0.2236,4.472,1,0.07781
20,0.2236,4.472,4.472,0.04794
20,0.2236,4.472,20,0.03064
20,0.2236,20,0,0.1206
20,0.2236,20,0.05,0.1237
20,0.2236,20,0.2236,0.1053
20,0.2236,20,1,0.07942
20,0.2236,20,4.472,0.04488
20,0.2236,20,20,0.03068
0,1,0,0,0.7329
0,1,0,0.05,0.7104
0,1,0,0.2236,0.6389
0,1,0,1,0.4438
0,1,0,4.472,0.2561
0,1,0,20,0.1819
0,1,0.05,0,0.78
0,1,0.05,0.05,0.709
0,1,0.05,0.2236,0.6542
0,1,0.05,1,0.4031
0,1,0.05,4.472,0.2662
0,1,0.05,20,0.1554
0,1,0.2236,0,0.8068
0,1,0.2236,0.05,0.6597
0,1,0.2236,0.2236,0.6551
0,1,0.2236,1,0.4543
0,1,0.2236,4.472,0.2692
0,1,0.2236,20,0.172
0,1,1,0,0.4581
0,1,1,0.05,0.4574
0,1,1,0.2236,0.4346
0,1,1,1,0.3171
0,1,1,4.472,0.1822
0,1,1,20,0.1141
0,1,4.472,0,0.242
0,1,4.472,0.05,0.2493
0,1,4.472,0.2236,0.1999
0,1,4.472,1,0.1437
0,1,4.472,4.472,0.08132
0,1,4.472,20,0.05233
0,1,20,0,0.2475
0,1,20,0.05,0.2173
0,1,20,0.2236,0.1795
0,1,20,1,0.1303
0,1,20,4.472,0.08069
0,1,20,20,0.0516
0.05,1,0,0,0.7186
0.05,1,0,0.05,0.7372
0.05,1,0,0.2236,0.6702
0.05,1,0,1,0.4591
0.05,1,0,4.472,0.2564
0.05,1,0,20,0.1763
0.05,1,0.05,0,0.7645
0.05,1,0.05,0.05,0.677
0.05,1,0.05,0.2236,0.6096
0.05,1,0.05,1,0.4609
0.05,1,0.05,4.472,0.3035
0.05,1,0.05,20,0.1916
0.05,1,0.2236,0,0.751
0.05,1,0.2236,0.05,0.7448
0.05,1,0.2236,0.2236,0.595
0.05,1,0.2236,1,0.447
0.05,1,0.2236,4.472,0.265
0.05,1,0.2236,20,0.1833
0.05,1,1,0,0.4764
0.05,1,1,0.05,0.4406
0.05,1,1,0.2236,0.357
0.05,1,1,1,0.2863
0.05,1,1,4.472,0.1443
0.05,1,1,20,0.1124
0.05,1,4.472,0,0.2219
0.05,1,4.472,0.05,0.2181
0.05,1,4.472,0.2236,0.2043
0.05,1,4.472,1,0.136
0.05,1,4.472,4.472,0.07305
0.05,1,4.472,20,0.05014
0.05,1,20,0,0.2262
0.05,1,20,0.05,0.2092
0.05,1,20,0.2236,0.2027
0.05,1,20,1,0.1387
0.05,1,20,4.472,0.07896
0.05,1,20,20,0.05361
0.2236,1,0,0,0.7472
0.2236,1,0,0.05,0.7581
0.2236,1,0,0.2236,0.5723
0.2236,1,0,1,0.4353
0.2236,1,0,4.472,0.2535
0.2236,1,0,20,0.1761
0.2236,1,0.05,0,0.823
0.2236,1,0.05,0.05,0.7175
0.2236,1,0.05,0.2236,0.5874
0.2236,1,0.05,1,0.4708
0.2236,1,0.05,4.472,0.2414
0.2236,1,0.05,20,0.1677
0.2236,1,0.2236,0,0.7174
0.2236,1,0.2236,0.05,0.6682
0.2236,1,0.2236,0.2236,0.6632
0.2236,1,0.2236,1,0.4277
0.2236,1,0.2236,4.472,0.2431
0.2236,1,0.2236,20,0.1758
0.2236,1,1,0,0.4723
0.2236,1,1,0.05,0.439
0.2236,1,1,0.2236,0.3763
0.2236,1,1,1,0.2811
0.2236,1,1,4.472,0.1585
0.2236,1,1,20,0.1101
0.2236,1,4.472,0,0.2179
0.2236,1,4.472,0.05,0.2325
0.2236,1,4.472,0.2236,0.2003
0.2236,1,4.472,1,0.1354
0.2236,1,4.472,4.472,0.08516
0.2236,1,4.472,20,0.0541
0.2236,1,20,0,0.2109
0.2236,1,20,0.05,0.2185
0.2236,1,20,0.2236,0.1744
0.2236,1,20,1,0.1196
0.2236,1,20,4.472,0.07599
0.2236,1,20,20,0.05451
1,1,0,0,0.5866
1,1,0,0.05,0.5563
1,1,0,0.2236,0.4777
1,1,0,1,0.309
1,1,0,4.472,0.1851
1,1,0,20,0.141
1,1,0.05,0,0.5421
1,1,0.05,0.05,0.5154
1,1,0.05,0.2236,0.5254
1,1,0.05,1,0.3271
1,1,0.05,4.472,0.1835
1,1,0.05,20,0.1495
1,1,0.2236,0,0.552
1,1,0.2236,0.05,0.5349
1,1,0.2236,0.2236,0.4408
1,1,0.2236,1,0.3229
1,1,0.2236,4.472,0.1802
1,1,0.2236,20,0.1247
1,1,1,0,0.3746
1,1,1,0.05,0.4189
1,1,1,0.2236,0.3518
1,1,1,1,0.2058
1,1,1,4.472,0.1408
1,1,1,20,0.09196
1,1,4.472,0,0.1676
1,1,4.472,0.05,0.1635
