drug1.conc,drug2.conc,drug3.conc,E
5.037,0,5.037,0.08705
5.037,0,10.03,0.06305
5.037,0,15.01,0.04862
5.037,0,20,0.03753
10.03,0,0,0.08938
10.03,0,0.05,0.09364
10.03,0,5.037,0.05829
10.03,0,10.03,0.04321
10.03,0,15.01,0.0328
10.03,0,20,0.02806
15.01,0,0,0.05878
15.01,0,0.05,0.06024
15.01,0,5.037,0.0472
15.01,0,10.03,0.03794
15.01,0,15.01,0.03145
15.01,0,20,0.03049
20,0,0,0.04868
20,0,0.05,0.04494
20,0,5.037,0.03272
20,0,10.03,0.0318
20,0,15.01,0.02816
20,0,20,0.02286
0,0.05,0,0.899
0,0.05,0.05,1.01
0,0.05,5.037,0.1688
0,0.05,10.03,0.08705
0,0.05,15.01,0.06494
0,0.05,20,0.04869
0.05,0.05,0,0.8455
0.05,0.05,0.05,0.8971
0.05,0.05,5.037,0.1654
0.05,0.05,10.03,0.09248
0.05,0.05,15.01,0.06103
0.05,0.05,20,0.04549
5.037,0.05,0,0.1564
5.037,0.05,0.05,0.1577
5.037,0.05,5.037,0.08681
5.037,0.05,10.03,0.05807
5.037,0.05,15.01,0.04964
5.037,0.05,20,0.03193
10.03,0.05,0,0.09333
10.03,0.05,0.05,0.08537
10.03,0.05,5.037,0.0628
10.03,0.05,10.03,0.05008
10.03,0.05,15.01,0.03989
10.03,0.05,20,0.0342
15.01,0.05,0,0.05822
15.01,0.05,0.05,0.05899
15.01,0.05,5.037,0.05034
15.01,0.05,10.03,0.0356
15.01,0.05,15.01,0.03194
15.01,0.05,20,0.02951
20,0.05,0,0.04841
20,0.05,0.05,0.04314
20,0.05,5.037,0.03857
20,0.05,10.03,0.03163
20,0.05,15.01,0.03043
20,0.05,20,0.02508
0,5.037,0,0.1706
0,5.037,0.05,0.1489
0,5.037,5.037,0.08685
0,5.037,10.03,0.06946
0,5.037,15.01,0.04595
0,5.037,20,0.03943
0.05,5.037,0,0.1744
0.05,5.037,0.05,0.1555
0.05,5.037,5.037,0.08148
0.05,5.037,10.03,0.05871
0.05,5.037,15.01,0.05227
0.05,5.037,20,0.03754
5.037,5.037,0,0.1021
5.037,5.037,0.05,0.08395
5.037,5.037,5.037,0.06145
5.037,5.037,10.03,0.04891
5.037,5.037,15.01,0.03827
5.037,5.037,20,0.02821
10.03,5.037,0,0.06665
10.03,5.037,0.05,0.06333
10.03,5.037,5.037,0.04747
10.03,5.037,10.03,0.03563
10.03,5.037,15.01,0.0321
10.03,5.037,20,0.03096
15.01,5.037,0,0.05064
15.01,5.037,0.05,0.04793
15.01,5.037,5.037,0.04113
15.01,5.037,10.03,0.03093
15.01,5.037,15.01,0.028
15.01,5.037,20,0.02302
20,5.037,0,0.036
20,5.037,0.05,0.04014
20,5.037,5.037,0.0309
20,5.037,10.03,0.03029
20,5.037,15.01,0.02249
20,5.037,20,0.02074
0,10.03,0,0.08615
0,10.03,0.05,0.09374
0,10.03,5.037,0.06837
0,10.03,10.03,0.05247
0,10.03,15.01,0.03394
0,10.03,20,0.02993
0.05,10.03,0,0.08449
0.05,10.03,0.05,0.09486
0.05,10.03,5.037,0.06425
0.05,10.03,10.03,0.04525
0.05,10.03,15.01,0.03569
0.05,10.03,20,0.03092
5.037,10.03,0,0.06327
5.037,10.03,0.05,0.06335
5.037,10.03,5.037,0.04319
5.037,10.03,10.03,0.0398
5.037,10.03,15.01,0.03296
5.037,10.03,20,0.02848
10.03,10.03,0,0.04524
10.03,10.03,0.05,0.04445
10.03,10.03,5.037,0.03549
10.03,10.03,10.03,0.0332
10.03,10.03,15.01,0.03021
10.03,10.03,20,0.02534
15.01,10.03,0,0.03629
15.01,10.03,0.05,0.03654
15.01,10.03,5.037,0.03196
15.01,10.03,10.03,0.03047
15.01,10.03,15.01,0.02529
15.01,10.03,20,0.02099
20,10.03,0,0.03149
20,10.03,0.05,0.03031
20,10.03,5.037,0.02726
20,10.03,10.03,0.02447
20,10.03,15.01,0.01913
20,10.03,20,0.01901
0,15.01,0,0.05642
0,15.01,0.05,0.06398
0,15.01,5.037,0.04523
0,15.01,10.03,0.03749
0,15.01,15.01,0.03043
0,15.01,20,0.02922
0.05,15.01,0,0.05421
0.05,15.01,0.05,0.05644
0.05,15.01,5.037,0.0531
0.05,15.01,10.03,0.0391
0.05,15.01,15.01,0.03082
0.05,15.01,20,0.03178
5.037,15.01,0,0.04629
5.037,15.01,0.05,0.04391
5.037,15.01,5.037,0.04057
5.037,15.01,10.03,0.03445
5.037,15.01,15.01,0.02845
5.037,15.01,20,0.02663
10.03,15.01,0,0.03373
10.03,15.01,0.05,0.03802
10.03,15.01,5.037,0.03269
10.03,15.01,10.03,0.02839
10.03,15.01,15.01,0.02024
10.03,15.01,20,0.02126
15.01,15.01,0,0.02966
15.01,15.01,0.05,0.02986
15.01,15.01,5.037,0.02755
15.01,15.01,10.03,0.02551
15.01,15.01,15.01,0.02063
15.01,15.01,20,0.02073
20,15.01,0,0.03012
20,15.01,0.05,0.02698
20,15.01,5.037,0.0242
20,15.01,10.03,0.02222
20,15.01,15.01,0.0199
20,15.01,20,0.01576
0,20,0,0.04597
0,20,0.05,0.04624
0,20,5.037,0.03997
0,20,10.03,0.03307
0,20,15.01,0.02905
0,20,20,0.0227
0.05,20,0,0.0506
0.05,20,0.05,0.04967
0.05,20,5.037,0.03799
0.05,20,10.03,0.03653
0.05,20,15.01,0.02979
0.05,20,20,0.02327
5.037,20,0,0.03707
5.037,20,0.05,0.03623
5.037,20,5.037,0.03311
5.037,20,10.03,0.02583
5.037,20,15.01,0.0246
5.037,20,20,0.02126
10.03,20,0,0.03148
10.03,20,0.05,0.03351
10.03,20,5.037,0.02875
10.03,20,10.03,0.02232
10.03,20,15.01,0.01944
10.03,20,20,0.02
15.01,20,0,0.03082
15.01,20,0.05,0.02914
15.01,20,5.037,0.02434
15.01,20,10.03,0.02236
15.01,20,15.01,0.0186
15.01,20,20,0.01734
20,20,0,0.02474
20,20,0.05,0.02399
20,20,5.037,0.02131
20,20,10.03,0.01988
20,20,15.01,0.01807
20,20,20,0.0156
0,0,0,1.048
0,0,0.05,0.9028
0,0,5.037,0.1495
0,0,10.03,0.08548
0,0,15.01,0.06561
0,0,20,0.04988
0.05,0,0,0.9818
0.05,0,0.05,0.9038
0.05,0,5.037,0.1445
0.05,0,10.03,0.07511
0.05,0,15.01,0.06395
0.05,0,20,0.0498
5.037,0,0,0.1552
5.037,0,0.05,0.1628
5.037,0,5.037,0.0871
5.037,0,10.03,0.06237
5.037,0,15.01,0.05012
5.037,0,20,0.03796
10.03,0,0,0.09453
10.03,0,0.05,0.09724
10.03,0,5.037,0.06366
10.03,0,10.03,0.05655
10.03,0,15.01,0.03704
10.03,0,20,0.0346
15.01,0,0,0.05907
15.01,0,0.05,0.06405
15.01,0,5.037,0.05179
15.01,0,10.03,0.04077
15.01,0,15.01,0.03137
15.01,0,20,0.03191
20,0,0,0.05653
20,0,0.05,0.04244
20,0,5.037,0.04151
20,0,10.03,0.03365
20,0,15.01,0.02755
20,0,20,0.02342
0,0.05,0,0.9034
0,0.05,0.05,0.8712
0,0.05,5.037,0.1601
0,0.05,10.03,0.08846
0,0.05,15.01,0.07309
0,0.05,20,0.04464
0.05,0.05,0,0.8691
0.05,0.05,0.05,0.8628
0.05,0.05,5.037,0.14
0.05,0.05,10.03,0.08977
0.05,0.05,15.01,0.06462
0.05,0.05,20,0.0487
5.037,0.05,0,0.1726
5.037,0.05,0.05,0.1622
5.037,0.05,5.037,0.09471
5.037,0.05,10.03,0.07363
5.037,0.05,15.01,0.04746
5.037,0.05,20,0.04158
10.03,0.05,0,0.09037
10.03,0.05,0.05,0.1066
10.03,0.05,5.037,0.06081
10.03,0.05,10.03,0.05264
10.03,0.05,15.01,0.04052
10.03,0.05,20,0.03511
15.01,0.05,0,0.06572
15.01,0.05,0.05,0.06018
15.01,0.05,5.037,0.04339
15.01,0.05,10.03,0.04137
15.01,0.05,15.01,0.03609
15.01,0.05,20,0.02603
20,0.05,0,0.0462
20,0.05,0.05,0.0456
20,0.05,5.037,0.03894
20,0.05,10.03,0.03503
20,0.05,15.01,0.02911
20,0.05,20,0.02288
0,5.037,0,0.1654
0,5.037,0.05,0.1691
0,5.037,5.037,0.09305
0,5.037,10.03,0.06081
0,5.037,15.01,0.04294
0,5.037,20,0.03957
0.05,5.037,0,0.1421
0.05,5.037,0.05,0.1691
0.05,5.037,5.037,0.08751
0.05,5.037,10.03,0.06358
0.05,5.037,15.01,0.04368
0.05,5.037,20,0.03698
5.037,5.037,0,0.08603
5.037,5.037,0.05,0.09432
5.037,5.037,5.037,0.06206
5.037,5.037,10.03,0.04819
5.037,5.037,15.01,0.03795
5.037,5.037,20,0.02927
10.03,5.037,0,0.06634
10.03,5.037,0.05,0.05674
10.03,5.037,5.037,0.04742
10.03,5.037,10.03,0.0409
10.03,5.037,15.01,0.03555
10.03,5.037,20,0.02883
15.01,5.037,0,0.04603
15.01,5.037,0.05,0.05063
15.01,5.037,5.037,0.03492
15.01,5.037,10.03,0.02982
15.01,5.037,15.01,0.02726
15.01,5.037,20,0.02645
20,5.037,0,0.04554
20,5.037,0.05,0.04076
20,5.037,5.037,0.03185
20,5.037,10.03,0.03115
20,5.037,15.01,0.02691
20,5.037,20,0.02259
0,10.03,0,0.08794
0,10.03,0.05,0.0921
0,10.03,5.037,0.06413
0,10.03,10.03,0.0493
0,10.03,15.01,0.03901
0,10.03,20,0.02828
0.05,10.03,0,0.08625
0.05,10.03,0.05,0.08772
0.05,10.03,5.037,0.06756
0.05,10.03,10.03,0.04596
0.05,10.03,15.01,0.03581
0.05,10.03,20,0.03066
5.037,10.03,0,0.05696
5.037,10.03,0.05,0.05193
5.037,10.03,5.037,0.04521
5.037,10.03,10.03,0.03597
5.037,10.03,15.01,0.03074
5.037,10.03,20,0.02532
10.03,10.03,0,0.05052
10.03,10.03,0.05,0.05332
10.03,10.03,5.037,0.03653
10.03,10.03,10.03,0.03466
10.03,10.03,15.01,0.0305
10.03,10.03,20,0.02716
15.01,10.03,0,0.03435
15.01,10.03,0.05,0.04146
15.01,10.03,5.037,0.03073
15.01,10.03,10.03,0.02728
15.01,10.03,15.01,0.02631
15.01,10.03,20,0.02049
20,10.03,0,0.03352
20,10.03,0.05,0.02712
20,10.03,5.037,0.03195
20,10.03,10.03,0.024
20,10.03,15.01,0.02126
20,10.03,20,0.01963
0,15.01,0,0.05996
0,15.01,0.05,0.06452
0,15.01,5.037,0.0456
0,15.01,10.03,0.03892
0,15.01,15.01,0.03087
0,15.01,20,0.02579
0.05,15.01,0,0.06058
0.05,15.01,0.05,0.06292
0.05,15.01,5.037,0.04698
0.05,15.01,10.03,0.03836
0.05,15.01,15.01,0.03317
0.05,15.01,20,0.03222
5.037,15.01,0,0.04447
5.037,15.01,0.05,0.05022
5.037,15.01,5.037,0.03741
5.037,15.01,10.03,0.0323
5.037,15.01,15.01,0.02733
5.037,15.01,20,0.02368
10.03,15.01,0,0.04104
10.03,15.01,0.05,0.03622
10.03,15.01,5.037,0.03489
10.03,15.01,10.03,0.02932
10.03,15.01,15.01,0.02242
10.03,15.01,20,0.0225
15.01,15.01,0,0.03462
15.01,15.01,0.05,0.02757
15.01,15.01,5.037,0.02443
15.01,15.01,10.03,0.02272
15.01,15.01,15.01,0.02165
15.01,15.01,20,0.02176
20,15.01,0,0.029
20,15.01,0.05,0.02565
20,15.01,5.037,0.02308
20,15.01,10.03,0.02109
20,15.01,15.01,0.02224
20,15.01,20,0.01773
0,20,0,0.04631
0,20,0.05,0.04485
0,20,5.037,0.04169
0,20,10.03,0.03501
0,20,15.01,0.02559
0,20,20,0.02595
0.05,20,0,0.04595
0.05,20,0.05,0.04707
0.05,20,5.037,0.03829
0.05,20,10.03,0.03366
0.05,20,15.01,0.0296
0.05,20,20,0.02325
5.037,20,0,0.03691
5.037,20,0.05,0.03846
5.037,20,5.037,0.02937
5.037,20,10.03,0.02737
5.037,20,15.01,0.02325
5.037,20,20,0.02203
10.03,20,0,0.03099
10.03,20,0.05,0.03479
10.03,20,5.037,0.02939
10.03,20,10.03,0.02358
10.03,20,15.01,0.02308
10.03,20,20,0.0186
15.01,20,0,0.02755
15.01,20,0.05,0.02921
15.01,20,5.037,0.02703
15.01,20,10.03,0.02259
15.01,20,15.01,0.01788
15.01,20,20,0.0202
20,20,0,0.02448
20,20,0.05,0.02443
20,20,5.037,0.02238
20,20,10.03,0.01972
20,20,15.01,0.0192
20,20,20,0.01938
